Date,Temperature,Humidity,Outside Temperature,Previous Date,Temperature on Previous day,2 days before Date,Temperature 2 days before
1/15/2020 1:50,67.1,72.75,68,1/14/2020 1:50,68.4,1/13/2020 1:50,67.4
1/15/2020 3:50,67.8,71.73,66,1/14/2020 3:50,68.6,1/13/2020 3:50,67.5
1/15/2020 5:50,68.3,71.03,68,1/14/2020 5:50,68.8,1/13/2020 5:50,67.5
1/15/2020 7:50,65,73.98,72,1/14/2020 7:50,65.4,1/13/2020 7:50,67
1/15/2020 9:50,64,75.9,75,1/14/2020 9:50,64,1/13/2020 9:50,67.6
1/15/2020 11:50,63.8,76.97,75,1/14/2020 11:50,63.6,1/13/2020 11:50,67.5
1/15/2020 13:50,64,77.3,73,1/14/2020 13:50,63.5,1/13/2020 13:50,67.2
1/15/2020 15:50,64,77.26,72,1/14/2020 15:50,63.5,1/13/2020 15:50,67.3
1/15/2020 17:50,63.5,76.74,69,1/14/2020 17:50,63.4,1/13/2020 17:50,67.4
1/15/2020 19:50,63.4,77.52,67,1/14/2020 19:50,63.4,1/13/2020 19:50,67.5
1/15/2020 21:50,63.8,77.31,66,1/14/2020 21:50,63.6,1/13/2020 21:50,67.8
1/15/2020 23:50,66.2,74.55,64,1/14/2020 23:50,65.9,1/13/2020 23:50,68.1
1/16/2020 1:50,67.4,72.86,64,1/15/2020 1:50,67.1,1/14/2020 1:50,68.4
1/16/2020 3:50,68.1,71.74,66,1/15/2020 3:50,67.8,1/14/2020 3:50,68.6
1/16/2020 5:50,68.6,71.13,66,1/15/2020 5:50,68.3,1/14/2020 5:50,68.8
1/16/2020 7:50,65.3,74.1,70,1/15/2020 7:50,65,1/14/2020 7:50,65.4
1/16/2020 9:50,64.2,75.95,73,1/15/2020 9:50,64,1/14/2020 9:50,64
1/16/2020 11:50,63.9,77.06,77,1/15/2020 11:50,63.8,1/14/2020 11:50,63.6
1/16/2020 13:50,64,77.44,75,1/15/2020 13:50,64,1/14/2020 13:50,63.5
1/16/2020 15:50,64,77.59,64,1/15/2020 15:50,64,1/14/2020 15:50,63.5
1/16/2020 17:50,63.5,76.79,63,1/15/2020 17:50,63.5,1/14/2020 17:50,63.4
1/16/2020 19:50,63.1,76.7,61,1/15/2020 19:50,63.4,1/14/2020 19:50,63.4
1/16/2020 21:50,63.6,75.92,59,1/15/2020 21:50,63.8,1/14/2020 21:50,63.6
1/16/2020 23:50,66.2,72.58,60,1/15/2020 23:50,66.2,1/14/2020 23:50,65.9
1/17/2020 1:50,67.1,71.57,61,1/16/2020 1:50,67.4,1/15/2020 1:50,67.1
1/17/2020 3:50,67.7,70.91,59,1/16/2020 3:50,68.1,1/15/2020 3:50,67.8
1/17/2020 5:50,68,70.3,31,1/16/2020 5:50,68.6,1/15/2020 5:50,68.3
1/17/2020 7:50,68.1,67.96,63,1/16/2020 7:50,65.3,1/15/2020 7:50,65
1/17/2020 9:50,68,66.49,66,1/16/2020 9:50,64.2,1/15/2020 9:50,64
1/17/2020 11:50,64.7,70.92,68,1/16/2020 11:50,63.9,1/15/2020 11:50,63.8
1/17/2020 13:50,63.7,72.22,72,1/16/2020 13:50,64,1/15/2020 13:50,64
1/17/2020 15:50,63.4,74.19,70,1/16/2020 15:50,64,1/15/2020 15:50,64
1/17/2020 17:50,62.9,74.84,68,1/16/2020 17:50,63.5,1/15/2020 17:50,63.5
1/17/2020 19:50,62.7,75.27,66,1/16/2020 19:50,63.1,1/15/2020 19:50,63.4
1/17/2020 21:50,64.4,74.17,68,1/16/2020 21:50,63.6,1/15/2020 21:50,63.8
1/17/2020 23:50,66,72.05,66,1/16/2020 23:50,66.2,1/15/2020 23:50,66.2
1/18/2020 1:50,67.1,70.98,70,1/17/2020 1:50,67.1,1/16/2020 1:50,67.4
1/18/2020 3:50,67.8,70.38,68,1/17/2020 3:50,67.7,1/16/2020 3:50,68.1
1/18/2020 5:50,68.4,69.98,69,1/17/2020 5:50,68,1/16/2020 5:50,68.6
1/18/2020 7:50,68,72.71,71,1/17/2020 7:50,68.1,1/16/2020 7:50,65.3
1/18/2020 9:50,69.3,71.84,73,1/17/2020 9:50,68,1/16/2020 9:50,64.2
1/18/2020 11:50,69.1,70.95,75,1/17/2020 11:50,64.7,1/16/2020 11:50,63.9
1/18/2020 13:50,65.7,75.02,64,1/17/2020 13:50,63.7,1/16/2020 13:50,64
1/18/2020 15:50,64.8,77.06,65,1/17/2020 15:50,63.4,1/16/2020 15:50,64
1/18/2020 17:50,66.3,76.05,66,1/17/2020 17:50,62.9,1/16/2020 17:50,63.5
1/18/2020 19:50,69.1,75.33,64,1/17/2020 19:50,62.7,1/16/2020 19:50,63.1
1/18/2020 21:50,69.7,74.25,61,1/17/2020 21:50,64.4,1/16/2020 21:50,63.6
1/18/2020 23:50,69.4,73.83,58,1/17/2020 23:50,66,1/16/2020 23:50,66.2
1/19/2020 1:50,69.4,73.66,52,1/18/2020 1:50,67.1,1/17/2020 1:50,67.1
1/19/2020 3:50,69.3,73.25,48,1/18/2020 3:50,67.8,1/17/2020 3:50,67.7
1/19/2020 5:50,68.9,71.9,47,1/18/2020 5:50,68.4,1/17/2020 5:50,68
1/19/2020 7:50,68.4,69.14,45,1/18/2020 7:50,68,1/17/2020 7:50,68.1
1/19/2020 9:50,68.1,67.75,52,1/18/2020 9:50,69.3,1/17/2020 9:50,68
1/19/2020 11:50,69.7,65.33,54,1/18/2020 11:50,69.1,1/17/2020 11:50,64.7
1/19/2020 13:50,70.2,50.72,52,1/18/2020 13:50,65.7,1/17/2020 13:50,63.7
1/19/2020 15:50,68.8,48.7,48,1/18/2020 15:50,64.8,1/17/2020 15:50,63.4
1/19/2020 17:50,68.8,48,46,1/18/2020 17:50,66.3,1/17/2020 17:50,62.9
1/19/2020 19:50,68.3,49.28,42,1/18/2020 19:50,69.1,1/17/2020 19:50,62.7
1/19/2020 21:50,67.8,48.98,39,1/18/2020 21:50,69.7,1/17/2020 21:50,64.4
1/19/2020 23:50,67.4,48.79,39,1/18/2020 23:50,69.4,1/17/2020 23:50,66
1/20/2020 1:50,66.9,48.22,37,1/19/2020 1:50,69.4,1/18/2020 1:50,67.1
1/20/2020 3:50,66.4,47.56,37,1/19/2020 3:50,69.3,1/18/2020 3:50,67.8
1/20/2020 5:50,65.9,47.01,43,1/19/2020 5:50,68.9,1/18/2020 5:50,68.4
1/20/2020 7:50,67.7,44.01,47,1/19/2020 7:50,68.4,1/18/2020 7:50,68
1/20/2020 9:50,68.3,42.46,50,1/19/2020 9:50,68.1,1/18/2020 9:50,69.3
1/20/2020 11:50,68.5,42.28,52,1/19/2020 11:50,69.7,1/18/2020 11:50,69.1
1/20/2020 13:50,68,42.79,50,1/19/2020 13:50,70.2,1/18/2020 13:50,65.7
1/20/2020 15:50,67.4,42.99,46,1/19/2020 15:50,68.8,1/18/2020 15:50,64.8
1/20/2020 17:50,67.4,42.71,42,1/19/2020 17:50,68.8,1/18/2020 17:50,66.3
1/20/2020 19:50,67,42.67,40,1/19/2020 19:50,68.3,1/18/2020 19:50,69.1
1/20/2020 21:50,67.7,42.21,37,1/19/2020 21:50,67.8,1/18/2020 21:50,69.7
1/20/2020 23:50,66.5,42.69,36,1/19/2020 23:50,67.4,1/18/2020 23:50,69.4
1/21/2020 1:50,65.7,42.6,34,1/20/2020 1:50,66.9,1/19/2020 1:50,69.4
1/21/2020 3:50,65.2,42.24,34,1/20/2020 3:50,66.4,1/19/2020 3:50,69.3
1/21/2020 5:50,64.7,41.93,37,1/20/2020 5:50,65.9,1/19/2020 5:50,68.9
1/21/2020 7:50,66.4,39.92,42,1/20/2020 7:50,67.7,1/19/2020 7:50,68.4
1/21/2020 9:50,67.8,38.69,48,1/20/2020 9:50,68.3,1/19/2020 9:50,68.1
1/21/2020 11:50,68.3,38.85,50,1/20/2020 11:50,68.5,1/19/2020 11:50,69.7
1/21/2020 13:50,67.4,40.91,52,1/20/2020 13:50,68,1/19/2020 13:50,70.2
1/21/2020 15:50,67,42.61,45,1/20/2020 15:50,67.4,1/19/2020 15:50,68.8
1/21/2020 17:50,67.3,43.17,39,1/20/2020 17:50,67.4,1/19/2020 17:50,68.8
1/21/2020 19:50,67.6,42.83,40,1/20/2020 19:50,67,1/19/2020 19:50,68.3
1/21/2020 21:50,68.1,41.45,41,1/20/2020 21:50,67.7,1/19/2020 21:50,67.8
1/21/2020 23:50,66.6,42.38,43,1/20/2020 23:50,66.5,1/19/2020 23:50,67.4
1/22/2020 1:50,66,42.4,40,1/21/2020 1:50,65.7,1/20/2020 1:50,66.9
1/22/2020 3:50,65.4,42.1,37,1/21/2020 3:50,65.2,1/20/2020 3:50,66.4
1/22/2020 5:50,64.9,41.51,40,1/21/2020 5:50,64.7,1/20/2020 5:50,65.9
1/22/2020 7:50,66.8,38.66,42,1/21/2020 7:50,66.4,1/20/2020 7:50,67.7
1/22/2020 9:50,67.8,37.58,45,1/21/2020 9:50,67.8,1/20/2020 9:50,68.3
1/22/2020 11:50,67.6,38.46,46,1/21/2020 11:50,68.3,1/20/2020 11:50,68.5
1/22/2020 13:50,67.5,39.94,46,1/21/2020 13:50,67.4,1/20/2020 13:50,68
1/22/2020 15:50,67.2,41.57,46,1/21/2020 15:50,67,1/20/2020 15:50,67.4
1/22/2020 17:50,67.7,42.33,46,1/21/2020 17:50,67.3,1/20/2020 17:50,67.4
1/22/2020 19:50,67.2,42.97,47,1/21/2020 19:50,67.6,1/20/2020 19:50,67
1/22/2020 21:50,67.8,43.12,48,1/21/2020 21:50,68.1,1/20/2020 21:50,67.7
1/22/2020 23:50,66.5,44.02,49,1/21/2020 23:50,66.6,1/20/2020 23:50,66.5
1/23/2020 1:50,66.1,44.66,50,1/22/2020 1:50,66,1/21/2020 1:50,65.7
